organization-id;device-id;time-base-schedule-number;time-base-schedule-month;time-base-schedule-day;time-base-schedule-date;time-base-schedule-day-plan;day-plan-hour;day-plan-minute;date;time;offset;holiday-table;tod-flags;meter-action
Caltrans;12708;1;8190;254;4294967294;208;0;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";PM_responsive_tables;dark
Caltrans;12708;2;8190;62;4294967294;63;14;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";;trafficResponsive
Caltrans;12708;3;8190;254;4294967294;208;19;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";PM_responsive_tables;dark
Caltrans;12707;1;8190;62;4294967294;63;5;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";;trafficResponsive
Caltrans;12707;2;8190;254;4294967294;80;9;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";;dark
Caltrans;12806;1;8190;62;4294967294;63;15;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";;trafficResponsive
Caltrans;12806;2;8190;254;4294967294;208;19;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";PM_responsive_tables;dark
Caltrans;12805;1;8190;62;4294967294;63;5;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";;trafficResponsive
Caltrans;12805;2;8190;254;4294967294;80;9;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";;dark
Caltrans;12809;1;8190;62;4294967294;63;14;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";;trafficResponsive
Caltrans;12809;2;8190;254;4294967294;208;19;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";PM_responsive_tables;dark
Caltrans;12808;1;8190;62;4294967294;63;5;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";;trafficResponsive
Caltrans;12808;2;8190;62;4294967294;191;9;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";PM_responsive_tables;trafficResponsive
Caltrans;12808;3;8190;254;4294967294;80;9;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";;dark
Caltrans;12802;1;8190;62;4294967294;63;15;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";;trafficResponsive
Caltrans;12802;2;8190;254;4294967294;208;19;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";PM_responsive_tables;dark
Caltrans;12801;1;8190;62;4294967294;63;5;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";;trafficResponsive
Caltrans;12801;2;8190;62;4294967294;80;9;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";;dark
Caltrans;12711;1;8190;254;4294967294;63;5;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";;trafficResponsive
Caltrans;12711;2;8190;254;4294967294;80;9;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";;dark
Caltrans;14707;1;8190;62;4294967294;181;5;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";PM_responsive_tables;fixedRate
Caltrans;14707;2;8190;254;4294967294;80;9;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";;dark
Caltrans;14709;1;8190;254;4294967294;80;0;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";PM_responsive_tables;dark
Caltrans;14709;2;8190;62;4294967294;63;15;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";;trafficResponsive
Caltrans;14709;3;8190;254;4294967294;208;18;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";PM_responsive_tables;dark
Caltrans;14803;1;8190;62;4294967294;63;15;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";;trafficResponsive
Caltrans;14803;2;8190;254;4294967294;208;18;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";PM_responsive_tables;dark
Caltrans;14804;1;8190;254;4294967294;80;0;0;20151104;114415;-800;"01/01;07/04;11/11;12/25";;dark
Caltrans;14804;2;8190;62;4294967294;63;5;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";;trafficResponsive
Caltrans;14804;3;8190;254;4294967294;80;9;30;20151104;114415;-800;"01/01;07/04;11/11;12/25";;dark